0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.countTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/magnific-popup-options.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 200 21522
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/style.css HTTP/1.1" 304 -
